instance_id,state_hex,optimal_cost,algorithm,algo_params,heuristic,heuristic_params,h_start,solved,termination,solution_cost,suboptimality,nodes_expanded,nodes_generated,h_batches,h_states,h_time_s,wall_time_s,batch_size
0,fead983c7b652014,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,30,,479,1545,477,1030,0.0361,0.0465,1
1,6bfc23e8ad047159,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,30,,46,150,47,105,0.0034,0.0043,1
2,edab7f6c04983251,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,26,,136,445,137,304,0.0102,0.0129,1
3,9dc8eaf40751b362,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,28,,63,205,64,143,0.0047,0.0060,1
4,fedc30a8b5712649,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",18.00,1,solved,26,,426,1368,425,914,0.0317,0.0405,1
5,ed9cfb50a4723618,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,26,,33,105,34,73,0.0026,0.0033,1
6,edc8fa941305b726,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,28,,50,160,51,111,0.0040,0.0051,1
7,0ed8fac639157b24,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,26,,27,86,28,60,0.0023,0.0028,1
8,bfecad4879512036,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,26,,37,119,38,83,0.0030,0.0038,1
9,fec8b9ad35046271,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",20.00,1,solved,24,,119,392,119,272,0.0089,0.0114,1
10,eb859dc4f60a7312,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,30,,31,98,32,68,0.0023,0.0030,1
11,afd8bec075213649,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,28,,49,153,50,105,0.0036,0.0046,1
12,fec4a98d0721b356,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,26,,52,170,53,119,0.0040,0.0050,1
13,0fec73a8b6d59214,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,28,,217,704,218,487,0.0160,0.0205,1
14,6d08efc5a934b721,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,26,,30,95,31,66,0.0022,0.0028,1
15,0fe4b9a86c1d7325,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,30,,98,318,99,221,0.0071,0.0090,1
16,e20dfbac35896714,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,24,,24,75,25,52,0.0019,0.0024,1
17,bfdca9e826417035,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,24,,90,285,91,194,0.0064,0.0081,1
18,bfae79cd23056481,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",30.00,1,solved,30,,30,91,31,62,0.0022,0.0028,1
19,0be95cd8f7643a21,,wastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,28,,30,98,31,69,0.0022,0.0028,1
0,fead983c7b652014,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,38,,231,737,231,501,0.0168,0.0214,1
1,6bfc23e8ad047159,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,40,,136,431,128,276,0.0091,0.0117,1
2,edab7f6c04983251,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,30,,456,1469,454,995,0.0324,0.0414,1
3,9dc8eaf40751b362,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,32,,102,322,103,221,0.0072,0.0092,1
4,fedc30a8b5712649,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",18.00,1,solved,32,,206,662,197,429,0.0139,0.0179,1
5,ed9cfb50a4723618,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,26,,33,105,34,73,0.0024,0.0031,1
6,edc8fa941305b726,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,34,,95,301,95,202,0.0068,0.0087,1
7,0ed8fac639157b24,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,26,,27,86,28,60,0.0020,0.0025,1
8,bfecad4879512036,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,36,,205,658,206,453,0.0147,0.0188,1
9,fec8b9ad35046271,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",20.00,1,solved,26,,43,143,44,101,0.0031,0.0039,1
10,eb859dc4f60a7312,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,30,,31,98,32,68,0.0022,0.0028,1
11,afd8bec075213649,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,28,,81,250,82,170,0.0058,0.0073,1
12,fec4a98d0721b356,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,26,,29,93,30,65,0.0022,0.0028,1
13,0fec73a8b6d59214,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,28,,264,841,263,569,0.0187,0.0239,1
14,6d08efc5a934b721,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,26,,31,99,32,69,0.0023,0.0029,1
15,0fe4b9a86c1d7325,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,42,,88,287,89,200,0.0064,0.0081,1
16,e20dfbac35896714,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,24,,24,75,25,52,0.0017,0.0022,1
17,bfdca9e826417035,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,28,,50,163,51,114,0.0036,0.0045,1
18,bfae79cd23056481,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",30.00,1,solved,30,,30,91,31,62,0.0022,0.0028,1
19,0be95cd8f7643a21,,wastar,"{""w"": 2.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",26.00,1,solved,28,,30,98,31,69,0.0022,0.0027,1
0,fead983c7b652014,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,48,,104,331,105,228,0.0074,0.0095,1
1,6bfc23e8ad047159,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",28.00,1,solved,46,,81,260,82,180,0.0057,0.0073,1
2,edab7f6c04983251,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,98,,374,1203,327,720,0.0234,0.0308,1
3,9dc8eaf40751b362,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,38,,97,306,98,209,0.0069,0.0088,1
4,fedc30a8b5712649,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",18.00,1,solved,30,,46,151,47,106,0.0033,0.0042,1
5,ed9cfb50a4723618,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",22.00,1,solved,74,,232,735,233,501,0.0167,0.0212,1
6,edc8fa941305b726,,gbfs,{},pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",24.00,1,solved,62,,92,303,93,211,0.0067,0.0085,1
