instance_id,state_hex,optimal_cost,algorithm,algo_params,heuristic,heuristic_params,h_start,solved,termination,solution_cost,suboptimality,nodes_expanded,nodes_generated,h_batches,h_states,h_time_s,wall_time_s,batch_size
0,8ab57e3c01296df4,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,46,,479,1054,385,821,0.0284,0.0298,1
1,8f4a75ed326cb091,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,44,,55782,123209,23645,49076,1.7069,1.8458,1
2,8c0edb4f792536a1,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,40,,1795,3872,987,2077,0.0690,0.0734,1
3,5e692f8d0c43ab17,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",44.00,1,solved,46,,496,1030,447,918,0.0315,0.0328,1
4,01d46fe2bac57398,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",38.00,1,solved,44,,3500,7544,2726,5753,0.1897,0.1987,1
5,ebc8f514da296370,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,40,,5266,11399,3147,6526,0.2210,0.2341,1
6,87c53fbd2e0614a9,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",38.00,1,solved,40,,214,449,197,412,0.0138,0.0144,1
7,bc9eaf64035d2178,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,36,,160,345,118,244,0.0083,0.0087,1
8,d957c832a46be0f1,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",48.00,1,solved,52,,670,1405,603,1250,0.0418,0.0435,1
9,a49e3db67f05281c,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,46,,4105,8944,2957,6261,0.2067,0.2173,1
10,fc0b42a5378e619d,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,50,,99903,213845,41461,83896,2.9143,3.1544,1
11,c2b1ea483f95d760,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,50,,4586,9911,3205,6695,0.2230,0.2348,1
12,c25d10e873ab96f4,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",44.00,1,solved,52,,80677,169429,39656,79351,2.7509,2.9439,1
13,e8f470ab21dc5693,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,48,,5915,12618,3617,7482,0.2538,0.2685,1
14,72596c10aedf3b84,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,48,,69493,150184,30554,62372,2.1617,2.3305,1
15,ef2d501b867a934c,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,48,,21568,45236,13880,28254,0.9721,1.0267,1
16,ad84c615be0239f7,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,44,,398,825,326,676,0.0225,0.0236,1
17,bf4dac98560e3217,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,40,,3434,7699,2420,5220,0.1680,0.1771,1
18,bd08947ce6a1f352,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,36,,100,217,85,182,0.0068,0.0071,1
19,3ea4bcdf75069218,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",40.00,1,solved,46,,7931,17297,4426,9359,0.3107,0.3302,1
20,2b8d1e3c590476af,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,50,,34432,75538,16290,33762,1.1700,1.2545,1
