instance_id,state_hex,optimal_cost,algorithm,algo_params,heuristic,heuristic_params,h_start,solved,termination,solution_cost,suboptimality,nodes_expanded,nodes_generated,h_batches,h_states,h_time_s,wall_time_s,batch_size
0,8cdfb65a7391e024,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",44.00,1,solved,46,,242,551,208,467,0.2837,0.2947,1
1,65f87c9b3d421ae0,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",46.00,1,solved,50,,234,529,197,433,0.1516,0.1572,1
2,da4f3be0c9816275,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",46.00,1,solved,48,,2948,6565,915,1927,0.7063,0.7496,1
3,eadbc6570128f394,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",42.00,1,solved,42,,203,466,147,330,0.1197,0.1241,1
4,fa8170c92d653be4,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",38.00,1,solved,40,,246,563,203,458,0.1583,0.1641,1
5,da689174fe0523cb,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",50.00,1,solved,52,,261,606,220,502,0.1716,0.1780,1
6,fa38e9bc752460d1,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",42.00,1,solved,44,,248,544,222,475,0.1762,0.1827,1
7,0f6d73aeb8c51294,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",38.00,1,solved,38,,118,273,82,180,0.0650,0.0677,1
8,f5c2ad80eb714693,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",44.00,1,solved,48,,292,645,234,508,0.1782,0.1850,1
9,ea09fb7d1245386c,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",38.00,1,solved,38,,158,348,108,224,0.0829,0.0863,1
10,1f08a4d37c625eb9,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",52.00,1,solved,52,,325,740,280,625,0.2176,0.2259,1
11,0cb47e6592a183df,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",52.00,1,solved,54,,95,213,95,211,0.0767,0.0792,1
12,980a6fc437e2bd15,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",46.00,1,solved,50,,667,1467,560,1231,0.4245,0.4403,1
13,ca05ed26f479b381,,idastar,"{""w"": 1.0}",classifier,"{""checkpoint"": ""../phase2_model_training/checkpoints/classifier/best_model.pt"", ""device"": ""cpu"", ""temperature"": 1.5, ""threshold"": 0.5}",42.00,1,solved,42,,65,143,66,143,0.0512,0.0530,1
